Date,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2017",18.75,22.98,18.5,20.76,50210000.00,937288000.00
"Sep 17, 2017",20.64,20.64,18.36,19.86,18695100.00,1031920000.00
"Sep 18, 2017",19.91,21.38,19.54,21.22,27647600.00,995579000.00
"Sep 19, 2017",20.99,21.71,19.04,19.94,30451900.00,1049420000.00
"Sep 20, 2017",19.9,20.47,19.69,19.75,14058200.00,995012000.00
"Sep 21, 2017",19.65,19.82,16.75,17.45,21587400.00,982515000.00
"Sep 22, 2017",17.39,19.32,16.98,18.69,22480200.00,869657000.00
"Sep 23, 2017",18.58,20.59,18.3,20.18,17216800.00,929086000.00
"Sep 24, 2017",20.17,20.43,19.28,19.79,11967200.00,1008660000.00
"Sep 25, 2017",19.8,27.08,19.8,26.02,81225500.00,989892000.00
"Sep 26, 2017",26.12,27.3,24.46,26.38,65868600.00,1305990000.00
"Sep 27, 2017",26.32,34.03,26.32,31.79,163163000.00,1316040000.00
"Sep 28, 2017",31.78,32.69,27.68,29.76,101195000.00,1589170000.00
"Sep 29, 2017",30.25,30.41,26.13,28.64,72558300.00,1512530000.00
"Sep 30, 2017",28.59,34.24,28.45,34.21,82181600.00,1429500000.00
"Oct 01, 2017",34.12,35.83,31.82,35.72,72169500.00,1705880000.00
"Oct 02, 2017",35.7,39.01,34.9,36.74,116098000.00,1785160000.00
"Oct 03, 2017",36.65,36.79,32.01,33.61,74199600.00,1832530000.00
"Oct 04, 2017",33.79,35.03,30.09,31.16,60565900.00,1689390000.00
"Oct 05, 2017",31.21,33.31,28.98,32.28,66785000.00,1560680000.00
"Oct 06, 2017",32.5,34.32,32.23,33.52,47267100.00,1625060000.00
"Oct 07, 2017",33.54,36.15,33.3,36.14,48058800.00,1677000000.00
"Oct 08, 2017",35.64,37.23,31.01,32.07,107725000.00,1781810000.00
"Oct 09, 2017",32.04,32.79,26.78,29.1,98290300.00,1601800000.00
"Oct 10, 2017",29.15,31.2,28.07,29.31,48223600.00,1457270000.00
"Oct 11, 2017",29.3,31.23,29.3,29.96,33627700.00,1464940000.00
"Oct 12, 2017",30.01,30.36,27.61,28.18,61080400.00,1500520000.00
"Oct 13, 2017",27.85,29.87,26.45,29.35,81365000.00,1392660000.00
"Oct 14, 2017",29.32,29.45,27.65,27.8,33551100.00,1465980000.00
